sample_index,subject_id,label
208,2,4
209,2,4
210,2,4
211,2,4
212,2,4
213,2,4
214,2,4
215,2,4
216,2,4
217,2,4
218,2,4
219,2,4
220,2,5
221,2,5
222,2,5
223,2,5
224,2,5
225,2,5
226,2,5
227,2,5
228,2,5
229,2,5
230,2,5
231,2,5
232,2,5
233,2,5
234,2,5
235,2,5
236,2,5
237,2,5
238,2,5
239,2,5
240,3,0
241,3,0
242,3,0
243,3,0
244,3,0
245,3,0
246,3,0
247,3,0
248,3,0
249,3,0
250,3,0
251,3,0
252,3,0
253,3,0
254,3,0
255,3,0
256,3,0
257,3,0
258,3,0
259,3,0
260,3,1
261,3,1
262,3,1
263,3,1
264,3,1
265,3,1
266,3,1
267,3,1
268,3,1
269,3,1
270,3,1
271,3,1
272,3,1
273,3,1
274,3,1
275,3,1
276,3,1
277,3,1
278,3,1
279,3,1
280,3,2
281,3,2
282,3,2
283,3,2
284,3,2
285,3,2
286,3,2
287,3,2
288,3,2
289,3,2
290,3,2
291,3,2
292,3,2
293,3,2
294,3,2
295,3,2
296,3,2
297,3,2
298,3,2
299,3,2
300,3,3
301,3,3
302,3,3
303,3,3
304,3,3
305,3,3
306,3,3
307,3,3
308,3,3
309,3,3
310,3,3
311,3,3
312,3,3
313,3,3
314,3,3
315,3,3
316,3,3
317,3,3
318,3,3
319,3,3
320,3,4
321,3,4
322,3,4
323,3,4
324,3,4
325,3,4
326,3,4
327,3,4
328,3,4
329,3,4
330,3,4
331,3,4
332,3,4
333,3,4
334,3,4
335,3,4
336,3,4
337,3,4
338,3,4
339,3,4
340,3,5
341,3,5
342,3,5
343,3,5
344,3,5
345,3,5
346,3,5
347,3,5
348,3,5
349,3,5
350,3,5
351,3,5
352,3,5
353,3,5
354,3,5
355,3,5
356,3,5
357,3,5
358,3,5
359,3,5
360,4,0
361,4,0
362,4,0
363,4,0
364,4,0
365,4,0
366,4,0
367,4,0
368,4,0
369,4,0
370,4,0
371,4,0
372,4,0
373,4,0
374,4,0
375,4,0
376,4,0
377,4,0
378,4,0
379,4,0
380,4,1
381,4,1
382,4,1
383,4,1
384,4,1
385,4,1
386,4,1
387,4,1
388,4,1
389,4,1
390,4,1
391,4,1
392,4,1
393,4,1
394,4,1
395,4,1
396,4,1
397,4,1
398,4,1
399,4,1
400,4,2
401,4,2
402,4,2
403,4,2
404,4,2
405,4,2
406,4,2
407,4,2
408,4,2
409,4,2
410,4,2
411,4,2
412,4,2
413,4,2
414,4,2
415,4,2
416,4,2
417,4,2
418,4,2
419,4,2
420,4,3
421,4,3
422,4,3
423,4,3
424,4,3
425,4,3
426,4,3
427,4,3
428,4,3
429,4,3
430,4,3
431,4,3
432,4,3
433,4,3
434,4,3
435,4,3
436,4,3
437,4,3
438,4,3
439,4,3
440,4,4
441,4,4
442,4,4
443,4,4
444,4,4
445,4,4
446,4,4
447,4,4
448,4,4
449,4,4
450,4,4
451,4,4
452,4,4
453,4,4
454,4,4
455,4,4
456,4,4
457,4,4
458,4,4
459,4,4
460,4,5
461,4,5
462,4,5
463,4,5
464,4,5
465,4,5
466,4,5
467,4,5
468,4,5
469,4,5
470,4,5
471,4,5
472,4,5
473,4,5
474,4,5
475,4,5
476,4,5
477,4,5
478,4,5
479,4,5
480,5,0
481,5,0
482,5,0
483,5,0
484,5,0
485,5,0
486,5,0
487,5,0
488,5,0
489,5,0
490,5,0
491,5,0
492,5,0
493,5,0
494,5,0
495,5,0
496,5,0
497,5,0
498,5,0
499,5,0
500,5,1
501,5,1
502,5,1
503,5,1
504,5,1
505,5,1
506,5,1
507,5,1
508,5,1
509,5,1
510,5,1
511,5,1
512,5,1
513,5,1
514,5,1
515,5,1
516,5,1
517,5,1
518,5,1
519,5,1
520,5,2
521,5,2
522,5,2
523,5,2
524,5,2
525,5,2
526,5,2
527,5,2
528,5,2
529,5,2
530,5,2
531,5,2
532,5,2
533,5,2
534,5,2
535,5,2
536,5,2
537,5,2
538,5,2
539,5,2
540,5,3
541,5,3
542,5,3
543,5,3
544,5,3
545,5,3
546,5,3
547,5,3
548,5,3
549,5,3
550,5,3
551,5,3
552,5,3
553,5,3
554,5,3
555,5,3
556,5,3
557,5,3
558,5,3
559,5,3
560,5,4
561,5,4
562,5,4
563,5,4
564,5,4
565,5,4
566,5,4
567,5,4
568,5,4
569,5,4
570,5,4
571,5,4
572,5,4
573,5,4
574,5,4
575,5,4
576,5,4
577,5,4
578,5,4
579,5,4
580,5,5
581,5,5
582,5,5
583,5,5
584,5,5
585,5,5
586,5,5
587,5,5
588,5,5
589,5,5
590,5,5
591,5,5
592,5,5
593,5,5
594,5,5
595,5,5
596,5,5
597,5,5
598,5,5
599,5,5
600,6,0
601,6,0
602,6,0
603,6,0
604,6,0
605,6,0
606,6,0
607,6,0
608,6,0
609,6,0
610,6,0
611,6,0
612,6,0
613,6,0
614,6,0
615,6,0
616,6,0
617,6,0
618,6,0
619,6,0
620,6,1
621,6,1
622,6,1
623,6,1
624,6,1
625,6,1
626,6,1
627,6,1
628,6,1
629,6,1
630,6,1
631,6,1
632,6,1
633,6,1
634,6,1
635,6,1
636,6,1
637,6,1
638,6,1
639,6,1
640,6,2
641,6,2
642,6,2
643,6,2
644,6,2
645,6,2
646,6,2
647,6,2
648,6,2
649,6,2
650,6,2
651,6,2
652,6,2
653,6,2
654,6,2
655,6,2
656,6,2
657,6,2
658,6,2
659,6,2
660,6,3
661,6,3
662,6,3
663,6,3
664,6,3
665,6,3
666,6,3
667,6,3
668,6,3
669,6,3
670,6,3
671,6,3
672,6,3
673,6,3
674,6,3
675,6,3
676,6,3
677,6,3
678,6,3
679,6,3
680,6,4
681,6,4
682,6,4
683,6,4
684,6,4
685,6,4
686,6,4
687,6,4
688,6,4
689,6,4
690,6,4
691,6,4
692,6,4
693,6,4
694,6,4
695,6,4
696,6,4
697,6,4
698,6,4
699,6,4
700,6,5
701,6,5
702,6,5
703,6,5
704,6,5
705,6,5
706,6,5
707,6,5
708,6,5
709,6,5
710,6,5
711,6,5
712,6,5
713,6,5
714,6,5
715,6,5
716,6,5
717,6,5
718,6,5
719,6,5
